epoch,burn_tokens,burn_usd,sma_burns,g_growth,share_T2,share_T3,nodes_T2,nodes_T3,hours_T2,hours_T3,avg_nodes_T2,avg_nodes_T3,avg_hours_per_wallet_T2,avg_hours_per_wallet_T3,avg_hpw_T2,avg_hpw_T3,r2,r3,x2,x3,anchor_prelogic,policy
60,15417.161283070014,68771.79294891717,12834.535480255834,0.529720230332672,0.8464051909441864,0.15359480905581363,64.0,135.0,0.0,0.0,63.916666666666664,132.58333333333334,0.0,0.0,0.0,0.0,0.013210039630118908,0.08231292517006805,0.0,0.0,19633.248571069806,27600.0
61,6386.8504838200015,28637.094827586192,12710.134344233333,0.4717869843008211,0.7795719170622654,0.22042808293773464,64.0,135.0,0.0,0.0,64.0,133.25,0.0,0.0,0.0,0.0,0.013192612137203241,0.08040540540540553,0.0,0.0,18706.610296557472,27600.0
62,7091.632358249998,29525.786769344006,12540.3834487925,0.3954661935903778,0.7585785832173766,0.24142141678262335,63.0,133.0,0.0,0.0,63.916666666666664,133.75,0.0,0.0,0.0,0.0,0.007884362680683266,0.0786290322580645,0.0,0.0,17499.681157450243,27600.0
63,9955.109162170002,37096.03027810278,11969.549100759168,0.22677836958070507,0.8337123096304677,0.16628769036953234,64.0,132.0,0.0,0.0,63.916666666666664,133.91666666666666,0.0,0.0,0.0,0.0,0.006561679790026309,0.07348029392117561,0.0,0.0,14683.983930445527,27600.0
64,8701.71287229,29080.339942183924,10067.063026951664,-0.1335668768735193,0.8074480156512419,0.19255198434875806,63.0,115.0,0.0,0.0,63.833333333333336,132.5,0.0,0.0,0.0,0.0,0.005249343832021136,0.054376657824933616,0.0,0.0,8722.436859152853,27600.0
65,8662.674441749998,26503.145099540667,9005.47297279083,-0.2917740523480511,0.8250441284858525,0.17495587151414746,62.0,131.0,0.0,0.0,63.666666666666664,132.33333333333334,0.0,0.0,0.0,0.0,0.001310615989515096,0.046113306982872304,0.0,0.0,6377.909630208799,27600.0
66,7138.36960700999,24824.89440608476,7040.5241431925,-0.495074920918781,0.7651636702982001,0.2348363297018,60.0,123.0,0.0,0.0,63.416666666666664,131.91666666666666,0.0,0.0,0.0,0.0,-0.002621231979030192,0.04007884362680669,0.0,0.0,3554.9372097747046,27600.0
67,7897.795772359994,29527.778302395895,7303.8901051375,-0.4364910103994787,0.8138549597451574,0.1861450402548426,60.0,122.0,0.0,0.0,63.083333333333336,130.83333333333334,0.0,0.0,0.0,0.0,-0.011749347258485643,0.0241356816699283,0.0,0.0,4115.807733299278,27600.0
68,7306.244074919994,22845.379790271287,7698.111026260832,-0.38569275374326295,0.7653231487901985,0.23467685120980156,59.0,126.0,0.0,0.0,62.75,130.0,0.0,0.0,0.0,0.0,-0.015686274509803977,0.010362694300518172,0.0,0.0,4729.005385920916,27600.0
69,17845.119123700013,66606.60413843743,8886.904530739166,-0.3005591746045465,0.7623462103612655,0.23765378963873454,58.0,126.0,0.0,0.0,62.25,129.16666666666666,0.0,0.0,0.0,0.0,-0.02352941176470591,-0.004495825305073975,0.0,0.0,6215.863840190797,27600.0
70,9330.080680970026,37317.55454545461,9172.358073030002,-0.2755193491668474,0.781676432582295,0.21832356741770498,58.0,119.0,0.0,0.0,61.666666666666664,127.75,0.0,0.0,0.0,0.0,-0.03394255874673635,-0.023566878980891826,0.0,0.0,6645.195946423497,27600.0
71,6683.556604090002,29364.235510134295,9368.025538700002,-0.23760554002846423,0.7158500982454282,0.2841499017545717,59.0,127.0,0.0,0.0,61.166666666666664,127.0,0.0,0.0,0.0,0.0,-0.0430247718383312,-0.036662452591656236,0.0,0.0,7142.130771576743,27600.0
72,12079.624827939995,52121.40848264915,9089.8975007725,-0.2917626419159418,0.7912210484072242,0.20877895159277587,58.0,125.0,0.0,0.0,60.666666666666664,126.16666666666667,0.0,0.0,0.0,0.0,-0.05084745762711862,-0.04839723444374611,0.0,0.0,6437.804991201999,25100.0
73,11668.520184419998,54120.12053921008,9530.036642489167,-0.2502017378901267,0.7689758611986512,0.23102413880134878,57.0,126.0,0.0,0.0,60.083333333333336,125.41666666666667,0.0,0.0,0.0,0.0,-0.06119791666666663,-0.0587867417135709,0.0,0.0,7145.60491238179,25100.0
74,8006.30791857999,37628.61832448908,9606.25960585,-0.2339740132288397,0.7300462247855493,0.26995377521445074,56.0,126.0,0.0,0.0,59.5,124.83333333333333,0.0,0.0,0.0,0.0,-0.06910039113428945,-0.06666666666666665,0.0,0.0,7358.644493751184,25100.0
